No,smi_mol1,smi_mol2,smi_mol3,smi_mol4,smi_mol5,smi_mol6,smi_mol7,smi_mol8,smi_mol9,smi_mol10,smi_mol11,smi_mol12,smi_mol13,x_mol_1,x_mol_2,x_mol_3,x_mol_4,x_mol_5,x_mol_6,x_mol_7,x_mol_8,x_mol_9,x_mol_10,x_mol_11,x_mol_12,x_mol_13,Mole/Weight/Volume Fraction,CN,DCN or ICN,Method,Device,Comments,Reference,can_smi_1,can_smi_2,can_smi_3,can_smi_4,can_smi_5,can_smi_6,can_smi_7,can_smi_8,can_smi_9,can_smi_10,can_smi_11,can_smi_12,can_smi_13,blends_str_repr
19,CCCCCCCCCCCC,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,,0.21,0.63,0.16,,,,,,,,,,,mole,24.3,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,,CCCCCCCCCCCC_0.210_CCCc1ccccc1_0.160_Cc1cc(C)cc(C)c1_0.630_
20,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.23,0.08,0.5,0.2,,,,,,,,,,mole,27.7,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.080_CCCCCCCCCCCC_0.230_CCCc1ccccc1_0.200_Cc1cc(C)cc(C)c1_0.500_
21,CCCCCCCCCCCC,CCCC1=CC=CC=C1,,,,,,,,,,,,0.2,0.8,,,,,,,,,,,,mole,28.1,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CCCc1ccccc1,,,,,,,,,,,,CCCCCCCCCCCC_0.200_CCCc1ccccc1_0.800_
22,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,,,,,,,,,,,0.25,0.15,0.6,,,,,,,,,,,mole,28.5,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,,,,,,,,,,,CC(C)CC(C)(C)C_0.150_CCCCCCCCCCCC_0.250_Cc1cc(C)cc(C)c1_0.600_
23,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.23,0.08,0.27,0.42,,,,,,,,,,mole,29.4,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.080_CCCCCCCCCCCC_0.230_CCCc1ccccc1_0.420_Cc1cc(C)cc(C)c1_0.270_
24,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.23,0.5,0.15,0.12,,,,,,,,,,mole,31.8,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.500_CCCCCCCCCCCC_0.230_CCCc1ccccc1_0.120_Cc1cc(C)cc(C)c1_0.150_
25,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,0.1,0.9,,,,,,,,,,,,mole,32.1,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,CC(C)CC(C)(C)C_0.900_CCCCCCCCCCCC_0.100_
26,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.3,0.08,0.5,0.12,,,,,,,,,,mole,33.7,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.080_CCCCCCCCCCCC_0.300_CCCc1ccccc1_0.120_Cc1cc(C)cc(C)c1_0.500_
27,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,,,,,,,,,,,0.25,0.4,0.35,,,,,,,,,,,mole,34.7,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,,,,,,,,,,,CC(C)CC(C)(C)C_0.400_CCCCCCCCCCCC_0.250_Cc1cc(C)cc(C)c1_0.350_
28,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.33,0.08,0.45,0.13,,,,,,,,,,mole,36.2,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.080_CCCCCCCCCCCC_0.330_CCCc1ccccc1_0.130_Cc1cc(C)cc(C)c1_0.450_
29,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.33,0.09,0.43,0.15,,,,,,,,,,mole,36.5,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.090_CCCCCCCCCCCC_0.330_CCCc1ccccc1_0.150_Cc1cc(C)cc(C)c1_0.430_
30,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.33,0.16,0.44,0.08,,,,,,,,,,mole,36.8,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.160_CCCCCCCCCCCC_0.330_CCCc1ccccc1_0.080_Cc1cc(C)cc(C)c1_0.440_
31,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.31,0.16,0.29,0.24,,,,,,,,,,mole,37.2,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.160_CCCCCCCCCCCC_0.310_CCCc1ccccc1_0.240_Cc1cc(C)cc(C)c1_0.290_
32,CCCCCCCCCCCC,CC1=CC(=CC(=C1)C)C,,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,mole,38.4,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,Cc1cc(C)cc(C)c1,,,,,,,,,,,,CCCCCCCCCCCC_0.400_Cc1cc(C)cc(C)c1_0.600_
33,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CCCC1=CC=CC=C1,,,,,,,,,,,0.25,0.4,0.35,,,,,,,,,,,mole,38.4,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CCCc1ccccc1,,,,,,,,,,,CC(C)CC(C)(C)C_0.400_CCCCCCCCCCCC_0.250_CCCc1ccccc1_0.350_
34,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.32,0.29,0.32,0.08,,,,,,,,,,mole,39.3,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.290_CCCCCCCCCCCC_0.320_CCCc1ccccc1_0.080_Cc1cc(C)cc(C)c1_0.320_
35,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.33,0.08,0.13,0.45,,,,,,,,,,mole,39.5,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.080_CCCCCCCCCCCC_0.330_CCCc1ccccc1_0.450_Cc1cc(C)cc(C)c1_0.130_
36,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.35,0.08,0.15,0.42,,,,,,,,,,mole,40.6,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.080_CCCCCCCCCCCC_0.350_CCCc1ccccc1_0.420_Cc1cc(C)cc(C)c1_0.150_
37,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.4,0.09,0.43,0.08,,,,,,,,,,mole,41.5,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.090_CCCCCCCCCCCC_0.400_CCCc1ccccc1_0.080_Cc1cc(C)cc(C)c1_0.430_
38,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,0.2,0.8,,,,,,,,,,,,mole,41.6,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,CC(C)CC(C)(C)C_0.800_CCCCCCCCCCCC_0.200_
39,CCCCCCCCCCCC,CCCC1=CC=CC=C1,,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,mole,44.55,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CCCc1ccccc1,,,,,,,,,,,,CCCCCCCCCCCC_0.400_CCCc1ccccc1_0.600_
41,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.4,0.17,0.27,0.15,,,,,,,,,,mole,44.7,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.170_CCCCCCCCCCCC_0.400_CCCc1ccccc1_0.150_Cc1cc(C)cc(C)c1_0.270_
42,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.4,0.17,0.15,0.27,,,,,,,,,,mole,45.4,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.170_CCCCCCCCCCCC_0.400_CCCc1ccccc1_0.270_Cc1cc(C)cc(C)c1_0.150_
43,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,Other,,,,,,,,,0.374,0.33,0.033,0.203,0.06,,,,,,,,,mole,46.5,DCN,ASTM D6890,IQT,"The ratio between the molecules did not add up to 1 so an ""other"" section was created to compensate",4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,Other,,,,,,,,,CC(C)CC(C)(C)C_0.330_CCCCCCCCCCCC_0.374_CCCc1ccccc1_0.203_Cc1cc(C)cc(C)c1_0.033_Other_0.060_
44,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,0.3,0.7,,,,,,,,,,,,mole,47.8,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,CC(C)CC(C)(C)C_0.700_CCCCCCCCCCCC_0.300_
45,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.413,0.304,0.178,0.105,,,,,,,,,,mole,48.3,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.304_CCCCCCCCCCCC_0.413_CCCc1ccccc1_0.105_Cc1cc(C)cc(C)c1_0.178_
46,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.43,0.283,0.235,0.052,,,,,,,,,,mole,48.4,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.283_CCCCCCCCCCCC_0.430_CCCc1ccccc1_0.052_Cc1cc(C)cc(C)c1_0.235_
47,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.446,0.278,0.253,0.024,,,,,,,,,,mole,49.4,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.278_CCCCCCCCCCCC_0.446_CCCc1ccccc1_0.024_Cc1cc(C)cc(C)c1_0.253_
48,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.42,0.273,0.024,0.024,,,,,,,,,,mole,49.8,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.273_CCCCCCCCCCCC_0.420_CCCc1ccccc1_0.024_Cc1cc(C)cc(C)c1_0.024_
49,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,mole,53.0,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,CC(C)CC(C)(C)C_0.600_CCCCCCCCCCCC_0.400_
50,CCCCCCCCCCCC,CC1=CC(=CC(=C1)C)C,,,,,,,,,,,,0.6,0.4,,,,,,,,,,,,mole,53.7,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,Cc1cc(C)cc(C)c1,,,,,,,,,,,,CCCCCCCCCCCC_0.600_Cc1cc(C)cc(C)c1_0.400_
51,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.5,0.29,0.13,0.08,,,,,,,,,,mole,53.8,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.290_CCCCCCCCCCCC_0.500_CCCc1ccccc1_0.080_Cc1cc(C)cc(C)c1_0.130_
52,CCCCCCCCCCCC,CCCC1=CC=CC=C1,,,,,,,,,,,,0.6,0.4,,,,,,,,,,,,mole,56.8,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CCCc1ccccc1,,,,,,,,,,,,CCCCCCCCCCCC_0.600_CCCc1ccccc1_0.400_
54,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.65,0.08,0.15,0.12,,,,,,,,,,mole,59.1,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.080_CCCCCCCCCCCC_0.650_CCCc1ccccc1_0.120_Cc1cc(C)cc(C)c1_0.150_
55,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,0.6,0.4,,,,,,,,,,,,mole,61.85,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,CC(C)CC(C)(C)C_0.400_CCCCCCCCCCCC_0.600_
57,CCCCCCCCCCCC,CC1=CC(=CC(=C1)C)C,,,,,,,,,,,,0.8,0.2,,,,,,,,,,,,mole,65.6,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,Cc1cc(C)cc(C)c1,,,,,,,,,,,,CCCCCCCCCCCC_0.800_Cc1cc(C)cc(C)c1_0.200_
58,CCCCCCCCCCCC,CCCC1=CC=CC=C1,,,,,,,,,,,,0.81,0.19,,,,,,,,,,,,mole,69.3,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CCCc1ccccc1,,,,,,,,,,,,CCCCCCCCCCCC_0.810_CCCc1ccccc1_0.190_
59,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,0.81,0.19,,,,,,,,,,,,mole,70.6,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,CC(C)CC(C)(C)C_0.190_CCCCCCCCCCCC_0.810_
