No,smi_mol1,smi_mol2,smi_mol3,smi_mol4,smi_mol5,smi_mol6,smi_mol7,smi_mol8,smi_mol9,smi_mol10,smi_mol11,smi_mol12,smi_mol13,x_mol_1,x_mol_2,x_mol_3,x_mol_4,x_mol_5,x_mol_6,x_mol_7,x_mol_8,x_mol_9,x_mol_10,x_mol_11,x_mol_12,x_mol_13,Mole/Weight/Volume Fraction,CN,DCN or ICN,Method,Device,Comments,Reference,can_smi_1,can_smi_2,can_smi_3,can_smi_4,can_smi_5,can_smi_6,can_smi_7,can_smi_8,can_smi_9,can_smi_10,can_smi_11,can_smi_12,can_smi_13,blends_str_repr
197,CCCCCCCCCCCCCC(=O)OCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,70.78,ICN,ASTM D8183,AFIDA,,9,CCCCCCCCCCCCCC(=O)OCC,,,,,,,,,,,,,CCCCCCCCCCCCCC(=O)OCC_1.000_
1191,CCCCCCCCCCCCCC(=O)OCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,66.9,DCN,ASTM D6890,IQT,,74,CCCCCCCCCCCCCC(=O)OCC,,,,,,,,,,,,,CCCCCCCCCCCCCC(=O)OCC_1.000_
201,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,46.02,ICN,ASTM D8183,AFIDA,,9,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,,,,,,,,,,,,,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC_1.000_
1199,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,37.1,DCN,ASTM D6890,IQT,,75,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,,,,,,,,,,,,,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC_1.000_
202,CCCCCC(=O)OC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,16.38,ICN,ASTM D8183,AFIDA,,9,CCCCCC(=O)OC,,,,,,,,,,,,,CCCCCC(=O)OC_1.000_
1151,CCCCCC(=O)OC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,25.3,DCN,ASTM D6890,IQT,,59,CCCCCC(=O)OC,,,,,,,,,,,,,CCCCCC(=O)OC_1.000_
203,CCCCCC(=O)OCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,20.61,ICN,ASTM D8183,AFIDA,,9,CCCCCC(=O)OCC,,,,,,,,,,,,,CCCCCC(=O)OCC_1.000_
1149,CCCCCC(=O)OCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,27.5,DCN,ASTM D6890,IQT,,59,CCCCCC(=O)OCC,,,,,,,,,,,,,CCCCCC(=O)OCC_1.000_
209,CCCCCCCC(=O)OCCCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,45.81,ICN,ASTM D8183,AFIDA,,9,CCCCCCCC(=O)OCCCC,,,,,,,,,,,,,CCCCCCCC(=O)OCCCC_1.000_
1184,CCCCCCCC(=O)OCCCC,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,mole,39.6,DCN,ASTM D6890,IQT,,74,CCCCCCCC(=O)OCCCC,,,,,,,,,,,,,CCCCCCCC(=O)OCCCC_1.000_
